HULI_DAM_CNCR_RGN_MNG_NO,RGN_CD,SN,DAM_CNCR_RGN_TYPE_CD,DAM_CNCR_RGN_DSTRCT_TYPE_CD,DSTRCT_NM,DSTRCT_DSGN_RSN_CD,DSGN_YMD,RMV_YMD,DSTRCT_DSGN_RSN_DTL_CN,GRDNT,DONG_CD,STDG_CD,MTN_ADDR_YN,MNLNO,SUBLOTNO,DADDR,RONA_DADDR,ROAD_NM_ADDR_CD,EXPC_DAM_NOHO,EXPC_DAM_NOPE,EXPC_DAM_BLDG_CNT,EXPC_DAM_AREA,ETC_DAM_CN,SHNT_TRGT_HSHD_CNT,SHNT_TRGT_NOPE,SHNT_PLC_NM,ACTC_TNOP,HYTM_NM,HYTM_CD,ACML_RNFL,MAX_HR_RNFL,MAX_CNTY_RNFL,GD_STF_CR_TYPE_CD_1,GD_STF_CR_TYPE_CD_2,XCRD,YCRD,LAST_MDFCN_DT,DEL_YN,DSGN_TYPE,DST_TYPE,DMG_TYPE,RMRK,SSON_SE_CD,NAOL_SE_CD,DSGN_RSN_CLSF_CD,DSTRCT_DSGN_RSN_DTL_CLSF_CN,FRST_REG_DT,DSTRCT_RSN_DTL_CLSF_CD,INST_NM_1,DEPT_NM_1,JBGD_NM_1,JBTTL_NM_1,LOT,LAT
인명피해우려지역관리번호,지역코드,일련번호,피해우려지역유형코드,피해우려지역지구유형코드,지구명,지구지정사유코드,지정일자,해제일자,지구지정사유상세내용,경사도,행정동코드,법정동코드,산주소여부,주지번,부지번,상세주소,도로명상세주소,도로명주소코드,예상피해세대수,예상피해인원수,예상피해건물수,예상피해면적,기타피해내용,대피대상가구수,대피대상인원수,대피장소명,수용인원,우량계명,우량계코드,누적강우량,최대시간강우량,최대연속강우량,안내요원직업유형코드1,안내요원직업유형코드2,X좌표,Y좌표,최종수정일시,삭제여부,지정유형,재해유형,피해유형,비고,계절구분코드,신구구분코드,지정사유분류코드,지구지정사유상세분류내용,최초등록일시,지구사유상세분류코드,기관명1,부서명1,직급명1,직책명1,경도,위도
9999999999,4182000000,11,001,009,산장,008,20250716,20250728,"(하천급류) 집중호우 시 하천범람으로 인한 침수, 급류휩쓸림 돌발성 인명피해",,4182033025,4182033025,N,734,,산장관광지 일원,,,0,20,0,0,,,,,,상면,4182033000,300,30,200,001,001,992372.814901,1972831.264937,2025/11/01 09:46:45,N,,,,,,00,,,2018/03/20 09:07:22,,,,,,127.4134145,37.755094
9999999999,4182000000,12,001,009,배터,008,20250907,20251101,"(하천급류) 집중호우 시 하천범람으로 인한 침수, 급류휩쓸림 돌발성 인명피해",,,4182035021,N,838,3,,,,0,20,0,0,,,,,,북면,4182035000,300,30,200,001,007,1004002.065997,1987194.127868,2025/11/01 09:48:19,N,,,,,,00,,,2018/03/20 09:09:01,,,,,,127.5455118,37.884572
9999999999,4182000000,13,001,009,명지,008,20250115,20250304,"(하천급류) 집중호우 시 하천범람으로 인한 침수, 급류휩쓸림 돌발성 인명피해",,4182035024,4182035024,N,231,3,일원,명지산 입구,,0,20,0,0,,,,,,북면,4182035000,300,30,200,001,007,999118.797546,1992811.771993,2025/11/01 09:54:40,N,,,,,,00,,,2018/03/20 10:20:28,,,,,,127.489972,37.9352124
9999999999,4182000000,16,001,009,가평천,008,20251010,20251027,"(하천급류) 집중호우 시 하천범람으로 인한 침수, 급류휩쓸림 돌발성 인명피해",,,4182025021,N,381,1,가평천 일원,가평천 일원,,0,50,0,0,,,,,,가평읍,4182025000,300,30,200,001,007,1001600.365548,1980791.822164,2025/11/01 09:38:05,N,,,,,,00,,,2018/03/19 17:37:24,,,,,,127.5181853,37.8268747
PEP4128000,4128000000,1,001,018,화전,018,20250917,20251030,내재배수 불량으로 인한 침수,,4128166000,4128112900,N,414,0,"화전 9,10통 일원",,,469,662,0,6,,382,760,,,고양시청,4128000000,800,120,400,008,008,944465.737831,1957267.699184,2025/11/01 13:40:05,N,,,,,,00,,,2018/04/06 11:28:16,,,,,,126.8707662,37.6131678
9999999999,4677000000,26453,001,014,가야지구,013,20250207,20250818,너울성파도 및 선박피해 우려,,4677032000,4677032023,N,364,11,,,,2,5,,,,,,,,도덕면사무소,,,,,,,970062.885154,1625413.678278,2025/11/01 09:27:40,,,,,,,00,,,2017/05/16 13:10:38,,,,,,127.1734214,34.6224925
N999999999,3017000000,43710393,,,정림동 자연재해위험개선지구,006,20250914,20250929,,,3017010400,3017010400,N,481,0,정림동 코스모스아파트 등,,,,,,,,,,,,,,,,,,,987708.754324,1811361.375887,2025/11/01 13:40:03,N,자연재해위험개선지구,자연재해,풍수해,,001,01,-1,,2022/02/18 13:40:03,,,,,,127.3631045,36.2994954
9999999999,4777000000,23517,001,018,벌영지구,010,20250303,20251010,"태풍, 집중호우 시 침수위험지구",,4777036000,4777036035,N,2,7,,,,404,746,,,,,,,,영해면(1507),4777036000,200,30,,,,1170353.006157,1839750.650526,2025/11/01 08:31:47,,,,,,,00,,,,,,,,,129.4030955,36.5403228
9999999999,4777000000,23520,001,001,대진지구(2017-26),001,20250815,20250919,"태풍, 집중호우 시 산사태취약지구",,4777036032,4777036032,Y,20,1,,,,14,31,,,,,,,,영해면(1507),4777036000,200,30,,,,1172754.342218,1841724.287924,2025/11/01 08:27:32,,,,,,,00,,,,,,,,,129.4303506,36.5576742
9999999999,4777000000,23523,001,001,오포지구(2016-42),001,20250710,20250820,"태풍, 집중호우 시 산사태취약지구",,4777031032,4777031032,Y,67,2,,,,18,24,,,,,,,,강구면(1502),4777031000,200,30,,,,1168824.869682,1819303.647184,2025/11/01 08:25:46,,,,,,,00,,,,,,,,,129.3815763,36.3563587
