시설번호,시설일련번호,수용시설명,시군구명,법정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
945,362,청운중학교,종로구,1111010100,서울특별시 종로구 청운동 89-143,717,126.970971,37.58908,197436.171432,554391.346146
946,363,경복고등학교,종로구,1111010100,서울특별시 종로구 청운동 89-9,1052,126.972439,37.58732,197565.717065,554195.914824
947,359,경기상업고등학교,종로구,1111010100,서울특별시 종로구 청운동 89-3,1157,126.970898,37.587992,197429.680462,554270.615735
948,364,청운초등학교,종로구,1111010100,서울특별시 종로구 청운동 123-0,902,126.969419,37.585966,197298.984038,554045.740894
949,372,서머셋펠리스 서울,종로구,1111012400,서울특별시 종로구 수송동 85-0,19800,126.981162,37.57517,198335.871241,552847.24672
950,487,서울잠일초등학교,송파구,1171010100,서울특별시 송파구 잠실동 19-1,4932,127.081637,37.51465,207217.365712,546133.174423
951,379,서울송전초등학교,송파구,1171010100,서울특별시 송파구 잠실동 44-2,735,127.094811,37.508447,208382.737426,545445.844521
952,374,영동일고등학교,송파구,1171010100,서울특별시 송파구 잠실동 35-1,3180,127.089516,37.509671,207914.459488,545581.300988
953,329,서울잠실초등학교,송파구,1171010200,서울특별시 송파구 신천동 20-2,733,127.111446,37.520124,209851.988327,546743.449163
954,301,강일초등학교,강동구,1174011000,서울특별시 강동구 강일동 685,13645,127.16842,37.546242,214883.433678,549649.718839
955,332,강일동주민센터,강동구,1174011000,서울특별시 강동구 강일동 678-0,645,127.178207,37.568905,215743.523403,552166.664475
956,363,강동중학교,강동구,1174011000,서울특별시 강동구 강일동 669-0,8896,127.177744,37.569966,215702.427305,552284.352504
957,368,강일고등학교,강동구,1174011000,서울특별시 강동구 강일동 685-1,11112,127.177464,37.564236,215678.881746,551648.283152
958,367,신암중학교,강동구,1174010700,서울특별시 강동구 암사동 444,1006,127.133081,37.555645,211758.976731,550688.358974
959,347,서울문정초등학교,송파구,1171010800,서울특별시 송파구 문정동 12,525,127.12872,37.488915,211383.83994,543281.581322
960,348,서울가원초등학교,송파구,1171010800,서울특별시 송파구 문정동 150-10,2610,127.114122,37.488513,210092.867732,543235.380495
961,416,서울문덕초등학교,송파구,1171010800,서울특별시 송파구 문정동 90-3,621,127.127596,37.484993,211284.976173,542846.240916
962,372,문현중학교,송파구,1171010900,서울특별시 송파구 장지동 838-3,946,127.127675,37.480571,211292.648137,542355.474621
963,485,서울문현초등학교,송파구,1171010900,서울특별시 송파구 장지동 836-0,3508,127.130087,37.482711,211505.657651,542593.208383
964,486,서울송례초등학교,송파구,1171010900,서울특별시 송파구 장지동 898-0,4443,127.138444,37.477873,212245.586755,542057.335132
965,368,서울잠신초등학교,송파구,1171010100,서울특별시 송파구 잠실동 22-4,4160,127.08842,37.514341,207817.119241,546099.514545
968,436,명원초등학교,강동구,1174010100,서울특별시 강동구 명일동 39-0,650,127.150382,37.551343,213288.525128,550213.170868
969,342,온조대왕문화체육관,강동구,1174010200,서울특별시 강동구 고덕동 296-0,7954,127.158885,37.558132,214038.544375,550967.954241
1741,491,논현초등학교,강남구,1168010800,서울특별시 강남구 논현동 168-0,1258,127.026118,37.508418,202309.234723,545438.6945
970,341,서울컨벤션고등학교,강동구,1174010200,서울특별시 강동구 고덕동 295-1,14629,127.15821,37.560001,213978.607266,551175.307434
971,343,고덕중학교,강동구,1174010200,서울특별시 강동구 고덕동 223,2048,127.161297,37.559984,214251.375778,551173.833194
972,311,명일초등학교,강동구,1174010700,서울특별시 강동구 암사동 418-18,1171,127.142029,37.553844,212549.996935,550489.61198
973,333,암사3동 주민센터,강동구,1174010700,서울특별시 강동구 암사동 414-19,161,127.14082,37.554972,212442.909974,550614.628028
1020,399,광현교회,은평구,1138010400,서울특별시 은평구 갈현동 501-5,1079,126.916084,37.618407,192591.42531,557649.163615
1060,315,강동초등학교,강동구,1174010900,서울특별시 강동구 천호동 306,2009,127.12997,37.54592,211485.579679,549608.638695
1061,328,해공도서관,강동구,1174010900,서울특별시 강동구 천호동 360,1932,127.126409,37.544355,211171.168093,549434.441405
1062,318,성내동교회,강동구,1174010800,서울특별시 강동구 성내동 135-30,548,127.125305,37.534112,211075.14111,548297.462341
1063,339,강동성심병원,강동구,1174010500,서울특별시 강동구 길동 445,15504,127.135233,37.536141,211952.295539,548523.889763
1064,361,신명초등학교,강동구,1174010500,서울특별시 강동구 길동 42,1006,127.149629,37.541477,213223.700661,549118.098012
1065,433,천동초등학교,강동구,1174010500,서울특별시 강동구 길동 371-1,572,127.137699,37.540781,212169.456523,549039.164059
1066,365,둔촌중학교,강동구,1174010600,서울특별시 강동구 둔촌동 19-1,1225,127.146206,37.530336,212923.122407,547881.09256
1393,366,온곡초등학교,노원구,1135010500,서울특별시 노원구 상계동 638-0,770,127.065596,37.667637,205787.326708,563111.906483
1394,324,상곡초등학교,노원구,1135010500,서울특별시 노원구 상계동 678-0,914,127.062281,37.662731,205495.291277,562567.255923
1395,358,은평초등학교,은평구,1138010200,서울특별시 은평구 녹번동 40-3,862,126.934935,37.601828,194254.457208,555807.750727
1396,359,불광1동주민센터,은평구,1138010300,서울특별시 은평구 불광동 613-1,181,126.932052,37.61031,194000.548363,556749.440104
