시설번호,시설일련번호,수용시설명,시군구명,법정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
218,28,강북구견인차량보관소(우이동 교통광장),강북구,1130510400,서울특별시 강북구 우이동 산 99-2,2395.0,127.012734,37.663538,201123.519673,562655.067909
219,56,서울대학교 사범대학 부설 중학교 운동장,성북구,1129013500,서울특별시 성북구 월곡로 36(종암동),18452.0,127.038968,37.595804,203441.318094,555137.887783
220,57,서울대학교 사범대학 부설 고등학교 운동장,성북구,1129013500,서울특별시 성북구 월곡로 6(종암동),12736.0,127.037811,37.592727,203339.285203,554796.358518
221,2,올림픽공원,송파구,1171011100,서울특별시 송파구 올림픽로 424(방이동),37270.0,127.116061,37.521353,210259.819426,546880.345808
222,6,오금공원,송파구,1171011200,서울특별시 송파구 오금로 363(오금동),219167.0,127.131637,37.500811,211639.89968,544602.325017
223,12,중곡초등학교운동장,중랑구,1126010100,서울특별시 중랑구 면목로23길 20(면목동),4900.0,127.083592,37.574329,207384.355712,552757.006915
224,13,면남초등학교운동장,중랑구,1126010100,서울특별시 중랑구 면목로30나길 38(면목동),3515.0,127.087957,37.577507,207769.629515,553110.104987
225,14,상봉중학교운동장,중랑구,1126010200,서울특별시 중랑구 상봉중앙로8나길 28(상봉동),4404.0,127.0905,37.601147,207991.728179,555734.062316
226,16,신묵초등학교운동장,중랑구,1126010400,서울특별시 중랑구 묵동 246-12,6481.0,127.07548,37.607418,206664.817094,556428.918956
227,65,개운산 공원,성북구,1129010300,서울특별시 성북구 돈암동 산 6-23,6999.0,127.025277,37.596533,202232.211103,555218.405102
228,67,월곡인조잔디구장,성북구,1129013600,서울특별시 성북구 화랑로13길 144(하월곡동),17309.0,127.042328,37.608664,203737.422787,556565.360602
229,68,서경대학교 운동장,성북구,1129013300,서울특별시 성북구 서경로 124(정릉동),8650.0,127.012085,37.615409,201066.977371,557313.225494
230,20,중화초등학교운동장,중랑구,1126010600,서울특별시 중랑구 신내로7가길 22(신내동),4170.0,127.094908,37.602932,208380.72844,555932.526212
231,4,용마중학교운동장,중랑구,1126010100,서울특별시 중랑구 면목로28길 18(면목동),2702.0,127.085984,37.574051,207595.642339,552726.394955
1,32,배봉초등학교 운동장,동대문구,1123010400,서울특별시 동대문구 사가정로 193(전농동),3265.0,127.066661,37.579628,205888.232689,553343.905165
2,53,은석초등학교 운동장,동대문구,1123010600,서울특별시 동대문구 장안벚꽃로 201(장안동),2732.0,127.075227,37.578352,206645.039701,553202.852568
3,59,청량고등학교 운동장,동대문구,1123010700,서울특별시 동대문구 왕산로 303(청량리동),3772.0,127.050506,37.588642,204460.689414,554343.460289
4,28,덕수중학교 운동장,중구,1114013400,서울특별시 중구 마른내로9길 10(인현동2가),5685.0,126.997199,37.565066,199752.576136,551725.614748
5,41,신계초등학교 운동장,노원구,1135010200,서울특별시 노원구 초안산로 29(월계동),3470.0,127.053159,37.630028,204692.445228,558937.038579
6,37,해성여자고등학교 운동장,동대문구,1123010400,서울특별시 동대문구 전농로20길 31(전농동),5900.0,127.057273,37.581211,205058.939421,553519.133689
7,46,군자초등학교 운동장,동대문구,1123010600,서울특별시 동대문구 한천로6길 21(장안동),4390.0,127.061139,37.564099,205401.586915,551620.097117
8,72,이문초등학교 운동장,동대문구,1123011000,서울특별시 동대문구 신이문로 16(이문동),2850.0,127.064482,37.60219,205694.037903,555847.955472
9,57,홍파초등학교 운동장,동대문구,1123010300,서울특별시 동대문구 고산자로 518(제기동),441.0,127.039149,37.586244,203457.780546,554076.886793
10,58,청량중학교 운동장,동대문구,1123010700,서울특별시 동대문구 왕산로 301(청량리동),5578.0,127.051484,37.587621,204547.13993,554230.221436
11,61,삼육초등학교 운동장,동대문구,1123010800,서울특별시 동대문구 회기로10길 63(회기동),2080.0,127.047806,37.589139,204222.197714,554398.563551
12,65,휘경초등학교 운동장,동대문구,1123010900,서울특별시 동대문구 망우로6길 48(휘경동),3415.0,127.05887,37.5855,205199.629506,553995.239324
13,67,전동중학교 운동장,동대문구,1123010900,서울특별시 동대문구 장안벚꽃로 291(휘경동),4197.0,127.071181,37.585156,206287.051805,553957.775113
14,71,휘봉고등학교 운동장,동대문구,1123010900,서울특별시 동대문구 한천로 290(휘경동),4048.0,127.067989,37.586529,206005.023407,554109.961167
15,44,중평중학교 운동장,노원구,1135010400,서울특별시 노원구 동일로203길 87(하계동),2870.0,127.062424,37.636845,205509.739248,559694.179506
16,46,청계초등학교 운동장,노원구,1135010600,서울특별시 노원구 공릉로 431(중계동),4200.0,127.066435,37.644424,205863.231273,560535.573359
17,59,재현고등학교 운동장,노원구,1135010600,서울특별시 노원구 덕릉로82길 64(중계동),4340.0,127.07975,37.659542,207036.898499,562214.453559
18,79,원광초등학교 운동장,노원구,1135010600,서울특별시 노원구 덕릉로76길 18(중계동),2280.0,127.074867,37.653761,206606.564039,561572.483584
19,40,신창중학교 운동장,노원구,1135010200,서울특별시 노원구 월계로45길 92(월계동),2540.0,127.047956,37.628227,204233.266553,558736.87815
20,93,갈울근린공원,노원구,1135010500,서울특별시 노원구 상계동 644,3200.0,127.061018,37.666828,205383.520944,563021.899365
21,94,온수근린공원,노원구,1135010500,서울특별시 노원구 노원로34길 43(상계동),550.0,127.063727,37.660915,205622.992364,562365.804618
